step,enabled,description,sharpe,sharpe_change,ann_return,max_drawdown,ann_turnover
0,none,fully naive,1.277689307,,0.0601722942,-0.08733943949,5.649727546
1,apply_costs,"charge commission, spread and impact",1.126409664,-0.1512796431,0.0527798705,-0.08971059172,5.649727546
2,apply_borrow_costs,charge stock borrow on the short leg,0.9387078512,-0.1877018127,0.04360273306,-0.09276006927,5.649727546
3,enforce_hard_to_borrow,refuse shorts in hard-to-borrow names,0.9467820092,0.008074157951,0.04402090938,-0.09276006927,5.650738236
4,apply_reporting_lag,delay the signal by its reporting lag,1.050680535,0.1038985258,0.04897763415,-0.08379979713,5.633628385
5,respect_universe_membership,trade only that date's actual members,0.7666831168,-0.2839974182,0.03554202997,-0.1027294999,5.761070249
6,honour_delistings,apply terminal returns on delisting,0.7731821306,0.006499013817,0.03597654825,-0.1027294999,5.758846136
